,RECORD INDEX,NEIGHBORHOOD,BLDGCAT,BLDGDESCRIPTION,TAXCLP,BLOCK,LOT,BLDGCP,ADDRESS,ZIP_CODE,RESIDENTIAL_ UNITS,COMMERCIAL_UNITS,UNITS,LANDSFT,GROSSSF,BUILT,TAXCLSALE,BLDGCTOS,SALE_PRICE,SALE_DATE,LAT,LONG
10,11.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2B,402.0,44.0,C4,543 EAST 6 STREET,10009,8.0,1.0,9.0,"1,820","7,083",1930.0,2.0,C4,"$3,250,000.00",7/14/2023,40.72585274,-73.98080476
11,12.0,ALPHABET CITY,7.0,RENTALS - WALKUP APARTMENTS,2,406.0,56.0,C7,517 EAST 12TH STREET,10009,16.0,2.0,18.0,"2,581","7,230",1900.0,2.0,C7,$0.00,1/18/2023,40.72585274,-73.98080476
12,13.0,ALPHABET CITY,8.0,RENTALS - ELEVATOR APARTMENTS,2,387.0,124.0,D1,630 EAST 6TH STREET,10009,40.0,0.0,40.0,"6,025","11,418",1900.0,2.0,D1,$0.00,3/31/2023,40.72585274,-73.98080476
88,92.0,ALPHABET CITY,14.0,RENTALS - 4-10 UNIT,2A,384.0,8.0,S5,13 AVENUE B,10009,5.0,1.0,6.0,"1,587","6,070",1920.0,2.0,S5,"$4,300,000.00",7/13/2023,40.72585274,-73.98080476
89,93.0,ALPHABET CITY,14.0,RENTALS - 4-10 UNIT,2A,398.0,4.0,S3,32 AVENUE A,10009,3.0,1.0,4.0,"1,672","4,708",1960.0,2.0,S3,"$3,780,000.00",3/9/2023,40.72585274,-73.98080476
107,111.0,ALPHABET CITY,22.0,STORE BUILDINGS,4,387.0,33.0,K4,650 EAST 5TH STREET,10009,3.0,1.0,4.0,"2,160","3,840",2000.0,4.0,K4,"$3,400,000.00",7/13/2023,40.72585274,-73.98080476
108,112.0,ALPHABET CITY,27.0,FACTORIES,4,394.0,28.0,F5,638 EAST 12TH STREET,10009,0.0,1.0,1.0,"2,237","4,532",1958.0,4.0,F5,"$2,800,000.00",7/18/2023,40.72585274,-73.98080476
109,1528.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,429.0,9.0,C7,26 FIRST AVENUE,10009,20.0,3.0,23.0,"3,256","16,924",1920.0,2.0,C7,$10.00,7/31/2023,40.72585274,-73.98080476
110,1529.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,429.0,47.0,C1,110 EAST 1ST STREET,10009,24.0,0.0,24.0,"3,972","15,540",1900.0,2.0,C1,"$7,000,000.00",10/27/2023,40.72585274,-73.98080476
111,1530.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,434.0,14.0,C1,100 EAST 7TH STREET,10009,15.0,0.0,15.0,"2,271","9,570",1900.0,2.0,C7,$0.00,8/8/2023,40.72585274,-73.98080476
112,1531.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,434.0,45.0,C1,425 EAST 6TH STREET,10009,18.0,0.0,18.0,"2,270","9,648",1920.0,2.0,C1,"$3,000,000.00",7/14/2023,40.72585274,-73.98080476
113,1532.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,435.0,12.0,C7,96 ST MARKS PLACE,10009,20.0,2.0,22.0,"2,518","9,775",1900.0,2.0,C7,$0.00,6/5/2023,40.72585274,-73.98080476
114,1533.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,435.0,13.0,C1,98 ST MARKS PLACE,10009,20.0,0.0,20.0,"2,518","9,775",1900.0,2.0,C1,$0.00,8/8/2023,40.72585274,-73.98080476
115,1534.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2B,436.0,28.0,C7,438 EAST 9TH STREET,10009,8.0,2.0,10.0,716,"3,580",1900.0,2.0,C7,"$18,000,000.00",12/23/2022,40.72585274,-73.98080476
116,1535.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2B,436.0,29.0,C7,141 AVENUE A,10009,8.0,2.0,10.0,"2,335","10,900",1888.0,2.0,C7,"$18,000,000.00",12/23/2022,40.72585274,-73.98080476
117,1536.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,437.0,27.0,C7,153 AVENUE A,10009,30.0,1.0,31.0,"2,976","8,122",1900.0,2.0,C7,"$5,000,000.00",12/23/2022,40.72585274,-73.98080476
118,1537.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,437.0,46.0,C1,413 EAST 9TH STREET,10009,24.0,0.0,24.0,"2,306","7,107",1900.0,2.0,C1,"$6,400,000.00",12/23/2022,40.72585274,-73.98080476
119,1538.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,438.0,15.0,C1,414 EAST 11TH STREET,10009,24.0,0.0,24.0,"2,370","7,420",1900.0,2.0,C1,"$5,000,000.00",5/18/2023,40.72585274,-73.98080476
120,1539.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,438.0,24.0,C1,432 EAST 11TH STREET,10009,15.0,0.0,15.0,"2,370","8,700",1910.0,2.0,C1,$0.00,8/24/2023,40.72585274,-73.98080476
121,1540.0,EAST VILLAGE,7.0,RENTALS - WALKUP APARTMENTS,2,438.0,42.0,C7,271 EAST 10TH STREET,10009,18.0,2.0,20.0,"2,369","9,035",1900.0,2.0,C7,"$5,450,000.00",3/31/2023,40.72585274,-73.98080476
144,1658.0,EAST VILLAGE,14.0,RENTALS - 4-10 UNIT,2A,429.0,37.0,S5,15 AVENUE A,10009,5.0,1.0,6.0,"1,580","6,491",1900.0,2.0,S5,"$7,300,000.00",5/5/2023,40.72585274,-73.98080476
145,1659.0,EAST VILLAGE,14.0,RENTALS - 4-10 UNIT,2A,434.0,42.0,S4,431 EAST 6TH STREET,10009,4.0,1.0,5.0,"2,271","6,288",1920.0,2.0,S4,"$1,900,000.00",9/15/2023,40.72585274,-73.98080476
151,1685.0,EAST VILLAGE,22.0,STORE BUILDINGS,4,434.0,36.0,K4,95 AVENUE A,10009,2.0,2.0,4.0,"1,524","5,329",1910.0,4.0,K4,$0.00,3/15/2023,40.72585274,-73.98080476
152,1686.0,EAST VILLAGE,37.0,RELIGIOUS FACILITIES,4,440.0,44.0,M4,429 EAST 12TH STREET,10009,0.0,0.0,0.0,"1,701","4,364",1900.0,4.0,M4,"$2,755,000.00",10/5/2023,40.72585274,-73.98080476
156,941.0,CHINATOWN,7.0,RENTALS - WALKUP APARTMENTS,2,280.0,25.0,C7,13 MARKET STREET,10002,17.0,2.0,19.0,"2,250","9,375",1900.0,2.0,C7,"$3,850,000.00",4/20/2023,40.71715344,-73.98920839
166,1004.0,CHINATOWN,14.0,RENTALS - 4-10 UNIT,2A,292.0,20.0,S4,27 ELDRIDGE STREET,10002,4.0,1.0,5.0,"1,683","4,260",1910.0,2.0,S4,"$2,100,000.00",6/14/2023,40.71715344,-73.98920839
168,1015.0,CHINATOWN,22.0,STORE BUILDINGS,4,280.0,33.0,K4,55 EAST BROADWAY,10002,0.0,3.0,3.0,"1,875","5,625",1900.0,4.0,K4,"$3,900,000.00",7/27/2023,40.71715344,-73.98920839
169,1016.0,CHINATOWN,22.0,STORE BUILDINGS,4,281.0,56.0,K4,17 DIVISION STREET,10002,0.0,2.0,2.0,"1,756","4,875",1910.0,4.0,K4,"$3,698,000.00",2/2/2023,40.71715344,-73.98920839
170,1017.0,CHINATOWN,22.0,STORE BUILDINGS,4,300.0,25.0,K2,25 ALLEN STREET,10002,0.0,3.0,3.0,"2,239","3,872",1900.0,4.0,K2,"$5,000,000.00",11/30/2022,40.71715344,-73.98920839
171,1018.0,CHINATOWN,26.0,OTHER HOTELS,4,282.0,31.0,H3,91 EAST BROADWAY,10002,0.0,19.0,19.0,"5,730","38,961",1910.0,4.0,H3,"$16,500,000.00",12/29/2022,40.71715344,-73.98920839
172,1020.0,CHINATOWN,37.0,RELIGIOUS FACILITIES,4,300.0,12.0,M9,58 ELDRIDGE STREET,10002,0.0,6.0,6.0,"1,385","6,020",1910.0,4.0,M9,$0.00,11/27/2022,40.71715344,-73.98920839
177,5744.0,LOWER EAST SIDE,1.0,ONE FAMILY DWELLINGS,1,294.0,27.0,S1,1 LUDLOW STREET,10002,1.0,1.0,2.0,479,"2,318",1910.0,1.0,S1,"$4,999,000.00",5/10/2023,40.71715344,-73.98920839
178,5745.0,LOWER EAST SIDE,2.0,TWO FAMILY DWELLINGS,1,408.0,8.0,S2,84 ORCHARD STREET,10002,2.0,1.0,3.0,"1,320","3,520",1920.0,1.0,S2,"$4,280,000.00",6/1/2023,40.71715344,-73.98920839
179,5746.0,LOWER EAST SIDE,2.0,TWO FAMILY DWELLINGS,1,410.0,50.0,S2,111 RIVINGTON STREET,10002,2.0,1.0,3.0,"1,335","3,717",1920.0,1.0,S2,"$4,000,000.00",9/28/2023,40.71715344,-73.98920839
180,5747.0,LOWER EAST SIDE,2.0,TWO FAMILY DWELLINGS,1,419.0,68.0,S2,133 ELDRIDGE STREET,10002,2.0,1.0,3.0,"2,700","11,078",1900.0,1.0,S2,"$5,500,000.00",1/23/2023,40.71715344,-73.98920839
183,5750.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,283.0,47.0,C7,17 PIKE STREET,10002,18.0,2.0,20.0,"2,295","8,965",1900.0,2.0,C7,$0.00,9/12/2023,40.71715344,-73.98920839
184,5751.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,284.0,26.0,C7,169 EAST BROADWAY,10002,18.0,1.0,19.0,"2,612","9,925",1920.0,2.0,C7,$0.00,5/30/2023,40.71715344,-73.98920839
185,5752.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,285.0,7.0,C7,191 HENRY STREET,10002,22.0,2.0,24.0,"2,188","9,810",1900.0,2.0,C7,"$6,350,000.00",6/28/2023,40.71715344,-73.98920839
186,5753.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,309.0,21.0,C7,53 LUDLOW,10002,16.0,2.0,18.0,"2,188","8,370",1910.0,2.0,C7,$0.00,12/26/2022,40.71715344,-73.98920839
187,5754.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,309.0,21.0,C7,53 LUDLOW STREET,10002,16.0,2.0,18.0,"2,188","8,370",1910.0,2.0,C7,"$1,219,057.00",4/1/2023,40.71715344,-73.98920839
188,5755.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,341.0,75.0,C7,"157 BROOME STREET, 3D",10002,28.0,2.0,30.0,"6,221","27,350",1910.0,2.0,C7,"$575,000.00",1/9/2023,40.71715344,-73.98920839
189,5756.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,341.0,75.0,C7,"157 BROOME STREET, 6C",10002,28.0,2.0,30.0,"6,221","27,350",1910.0,2.0,C7,"$585,000.00",8/8/2023,40.71715344,-73.98920839
190,5757.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,348.0,18.0,C7,157 RIVINGTON STREET,10002,18.0,2.0,20.0,"2,800","8,240",1920.0,2.0,C7,"$6,800,000.00",7/12/2023,40.71715344,-73.98920839
191,5758.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,348.0,44.0,C7,86 CLINTON STREET,10002,18.0,3.0,21.0,"2,500","8,406",1920.0,2.0,C7,"$8,850,000.00",11/10/2022,40.71715344,-73.98920839
192,5759.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,410.0,25.0,C7,109-111 LUDLOW STREET,10002,24.0,2.0,26.0,"3,564","16,812",1920.0,2.0,C7,"$8,800,000.00",3/21/2023,40.71715344,-73.98920839
193,5760.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,412.0,32.0,C7,167 LUDLOW STREET,10002,15.0,1.0,16.0,"2,188","8,600",1910.0,2.0,C7,"$30,000,000.00",4/26/2023,40.71715344,-73.98920839
194,5761.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,412.0,33.0,C7,165 LUDLOW STREET,10002,17.0,1.0,18.0,"2,188","8,150",1910.0,2.0,C7,"$30,000,000.00",4/26/2023,40.71715344,-73.98920839
195,5762.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,412.0,34.0,C7,163 LUDLOW STREET,10002,19.0,1.0,20.0,"1,875","8,500",1910.0,2.0,C7,"$30,000,000.00",4/26/2023,40.71715344,-73.98920839
196,5763.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,413.0,2.0,C7,108 ELDRIDGE STREET,10002,20.0,2.0,22.0,"3,375","24,000",1900.0,2.0,C7,$0.00,9/19/2023,40.71715344,-73.98920839
197,5764.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2B,414.0,30.0,C4,286 BROOME STREET,10002,8.0,1.0,9.0,"2,237","10,779",1900.0,2.0,C4,$0.00,5/24/2023,40.71715344,-73.98920839
198,5765.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2B,414.0,30.0,C4,286 BROOME STREET,10002,8.0,1.0,9.0,"2,237","10,779",1900.0,2.0,C4,"$2,550,000.00",8/28/2023,40.71715344,-73.98920839
199,5766.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,421.0,52.0,C7,"188 FORSYTH STREET, 3E",10002,142.0,5.0,147.0,"39,125","69,800",1986.0,2.0,C7,$0.00,6/27/2023,40.71715344,-73.98920839
200,5767.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,421.0,52.0,C7,"53 STANTON STREET, 2E",10002,142.0,5.0,147.0,"39,125","69,800",1986.0,2.0,C7,"$180,000.00",6/1/2023,40.71715344,-73.98920839
201,5768.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,421.0,52.0,C7,"53 STANTON STREET, 3B",10002,142.0,5.0,147.0,"39,125","69,800",1986.0,2.0,C7,"$410,000.00",6/1/2023,40.71715344,-73.98920839
202,5769.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,421.0,52.0,C7,"53 STANTON STREET, 6A",10002,142.0,5.0,147.0,"39,125","69,800",1986.0,2.0,C7,"$315,000.00",3/23/2023,40.71715344,-73.98920839
203,5770.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,421.0,52.0,C7,"53 STANTON STREET, 6B",10002,142.0,5.0,147.0,"39,125","69,800",1986.0,2.0,C7,"$450,000.00",1/20/2023,40.71715344,-73.98920839
204,5771.0,LOWER EAST SIDE,7.0,RENTALS - WALKUP APARTMENTS,2,426.0,22.0,C7,"13 STANTON STREET, 3B",10002,10.0,1.0,11.0,"2,500","11,700",1920.0,2.0,C7,$0.00,12/8/2022,40.71715344,-73.98920839
205,5772.0,LOWER EAST SIDE,8.0,RENTALS - ELEVATOR APARTMENTS,2B,276.0,20.0,D7,39 MONROE STREET,10002,9.0,1.0,10.0,"2,533","9,462",1915.0,2.0,D7,$0.00,12/9/2022,40.71715344,-73.98920839
206,5773.0,LOWER EAST SIDE,8.0,RENTALS - ELEVATOR APARTMENTS,2,354.0,20.0,D1,153/155 NORFOLK STREET,10002,50.0,0.0,50.0,"5,000","22,500",1912.0,2.0,D1,"$16,000,000.00",3/21/2023,40.71715344,-73.98920839
207,5774.0,LOWER EAST SIDE,8.0,RENTALS - ELEVATOR APARTMENTS,2,408.0,28.0,D6,324 GRAND STREET,10002,20.0,2.0,22.0,"4,428","24,410",2013.0,2.0,D6,"$23,750,000.00",1/20/2023,40.71715344,-73.98920839
208,5775.0,LOWER EAST SIDE,8.0,RENTALS - ELEVATOR APARTMENTS,2,425.0,30.0,D6,169 CHRYSTIE STREET,10002,78.0,2.0,80.0,"7,290","66,033",2020.0,2.0,D6,$0.00,11/10/2022,40.71715344,-73.98920839
209,5776.0,LOWER EAST SIDE,8.0,RENTALS - ELEVATOR APARTMENTS,2,425.0,31.0,D6,167 CHRYSTIE STREET,10002,78.0,1.0,79.0,"2,742","27,074",2020.0,2.0,D6,$0.00,11/10/2022,40.71715344,-73.98920839
833,6400.0,LOWER EAST SIDE,14.0,RENTALS - 4-10 UNIT,2A,419.0,75.0,S5,300 BROOME STREET,10002,5.0,1.0,6.0,"2,495","7,288",1988.0,2.0,S5,$0.00,10/17/2023,40.71715344,-73.98920839
853,6420.0,LOWER EAST SIDE,22.0,STORE BUILDINGS,4,276.0,24.0,K4,49 MARKET STREET,10002,0.0,2.0,2.0,"2,417","4,536",1915.0,4.0,K4,"$3,850,000.00",12/15/2022,40.71715344,-73.98920839
854,6421.0,LOWER EAST SIDE,22.0,STORE BUILDINGS,4,411.0,16.0,K2,99 STANTON STREET,10002,0.0,1.0,1.0,"1,650","4,950",1930.0,4.0,K2,"$5,000,000.00",2/24/2023,40.71715344,-73.98920839
855,6422.0,LOWER EAST SIDE,22.0,STORE BUILDINGS,4,423.0,5.0,K4,137 BOWERY,10002,0.0,4.0,4.0,"2,674","10,600",1930.0,4.0,K4,"$5,725,000.00",11/22/2022,40.71715344,-73.98920839
858,6425.0,LOWER EAST SIDE,41.0,TAX CLASS 4 - OTHER,4,246.0,5.0,Z9,259 CLINTON STREET,10002,0.0,0.0,0.0,"20,177",0,1980.0,4.0,Z9,"$40,000,000.00",12/28/2022,40.71715344,-73.98920839
880,113.0,CHELSEA,1.0,ONE FAMILY DWELLINGS,1,719.0,1.0,A4,473 WEST 21ST STREET,10011,1.0,0.0,1.0,"1,058","2,960",1920.0,1.0,A4,$0.00,2/22/2023,40.74097109,-73.99956519
881,114.0,CHELSEA,1.0,ONE FAMILY DWELLINGS,1,742.0,45.0,A9,310 WEST 19TH STREET,10011,1.0,0.0,1.0,"1,120","1,728",1910.0,1.0,A9,"$1,812,500.00",10/11/2023,40.74097109,-73.99956519
882,115.0,CHELSEA,1.0,ONE FAMILY DWELLINGS,1,766.0,13.0,A9,251 WEST 16TH STREET,10011,1.0,0.0,1.0,"1,360","2,736",1910.0,1.0,A9,$0.00,12/16/2022,40.74097109,-73.99956519
883,116.0,CHELSEA,2.0,TWO FAMILY DWELLINGS,1,744.0,30.0,B9,313 WEST 20TH STREET,10011,2.0,0.0,2.0,"2,300","9,200",1900.0,1.0,B9,"$10,700,000.00",8/10/2023,40.74097109,-73.99956519
884,117.0,CHELSEA,2.0,TWO FAMILY DWELLINGS,1,745.0,51.0,B9,324 WEST 22ND STREET,10011,2.0,0.0,2.0,"2,049","4,648",1910.0,1.0,B9,"$6,250,000.00",10/18/2023,40.74097109,-73.99956519
885,118.0,CHELSEA,3.0,THREE FAMILY DWELLINGS,1,722.0,16.0,C0,439 WEST 24TH STREET,10011,3.0,0.0,3.0,"2,057","3,360",1910.0,1.0,C0,"$5,400,000.00",5/23/2023,40.74097109,-73.99956519
886,119.0,CHELSEA,3.0,THREE FAMILY DWELLINGS,1,745.0,22.0,C0,323 WEST 21ST STREET,10011,3.0,0.0,3.0,"2,500","8,531",1865.0,1.0,C0,$0.00,3/29/2023,40.74097109,-73.99956519
887,120.0,CHELSEA,3.0,THREE FAMILY DWELLINGS,1,764.0,56.0,C0,232 WEST 15TH STREET,10011,3.0,0.0,3.0,"1,688","4,480",1901.0,1.0,C0,"$9,500,000.00",3/28/2023,40.74097109,-73.99956519
890,123.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2B,694.0,30.0,C1,505 WEST 22ND STREET,10011,10.0,0.0,10.0,"1,274","6,030",1900.0,2.0,C1,"$23,000,000.00",9/7/2023,40.74097109,-73.99956519
891,124.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2B,694.0,31.0,C7,203 10TH AVENUE,10011,8.0,1.0,9.0,"1,835","8,520",1905.0,2.0,C7,"$23,000,000.00",9/7/2023,40.74097109,-73.99956519
892,125.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2B,694.0,32.0,C7,205 10TH AVENUE,10011,9.0,1.0,10.0,"1,825","7,655",1905.0,2.0,C7,"$23,000,000.00",9/7/2023,40.74097109,-73.99956519
893,126.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,717.0,1.0,C7,146 10TH AVENUE,10011,16.0,1.0,17.0,"2,001","8,625",1900.0,2.0,C7,"$26,850,000.00",6/28/2023,40.74097109,-73.99956519
894,127.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,717.0,2.0,C7,148 10TH AVENUE,10011,15.0,1.0,16.0,"2,001","8,625",1900.0,2.0,C7,"$26,850,000.00",6/28/2023,40.74097109,-73.99956519
895,128.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,717.0,3.0,C4,150 10TH AVENUE,10011,15.0,1.0,16.0,"2,001","8,625",1900.0,2.0,C4,"$26,850,000.00",6/28/2023,40.74097109,-73.99956519
896,129.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2B,720.0,40.0,C1,415 WEST 22ND STREET,10011,10.0,0.0,10.0,"1,481","3,500",1900.0,2.0,C1,"$6,700,000.00",3/7/2023,40.74097109,-73.99956519
897,130.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2B,720.0,41.0,C1,413 WEST 22ND STREET,10011,8.0,0.0,8.0,"1,481","3,500",1900.0,2.0,C1,"$4,700,000.00",3/7/2023,40.74097109,-73.99956519
898,131.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,738.0,74.0,C4,362-364 WEST 15TH STREET,10011,15.0,0.0,15.0,"2,832","8,741",1885.0,2.0,C4,$0.00,1/13/2023,40.74097109,-73.99956519
899,132.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,741.0,1.0,C7,108 NINTH AVENUE,10011,17.0,2.0,19.0,"2,633","12,197",1910.0,2.0,C7,"$20,750,000.00",11/22/2022,40.74097109,-73.99956519
900,133.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,741.0,2.0,C7,110 NINTH AVENUE,10011,17.0,2.0,19.0,"2,625","10,420",1910.0,2.0,C7,"$20,750,000.00",11/22/2022,40.74097109,-73.99956519
901,134.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2A,744.0,7.0,C2,359 WEST 20TH STREET,10011,5.0,0.0,5.0,"1,591","4,472",1900.0,2.0,C2,"$5,500,000.00",7/13/2023,40.74097109,-73.99956519
902,135.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2B,744.0,34.0,C1,305 WEST 20TH STREET,10011,7.0,0.0,7.0,"2,300","5,600",1850.0,2.0,C1,"$5,012,500.00",11/29/2022,40.74097109,-73.99956519
903,136.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,764.0,37.0,C7,201 WEST 14TH STREET,10011,16.0,3.0,19.0,"2,400","11,463",1920.0,2.0,C7,"$4,850,000.00",12/22/2022,40.74097109,-73.99956519
904,137.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2B,768.0,9.0,C7,251 WEST 18TH STREET,10011,9.0,1.0,10.0,"1,638","5,582",1901.0,2.0,C7,"$4,100,000.00",12/20/2022,40.74097109,-73.99956519
905,138.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,769.0,46.0,C1,212 WEST 20TH STREET,10011,12.0,0.0,12.0,"2,089","7,950",1938.0,2.0,C1,"$4,200,000.00",7/1/2023,40.74097109,-73.99956519
906,139.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,769.0,47.0,C5,214 WEST 20TH STREET,10011,16.0,0.0,16.0,"2,100","4,000",1930.0,2.0,C5,$0.00,3/30/2023,40.74097109,-73.99956519
907,140.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,770.0,25.0,C7,227 WEST 20TH STREET,10011,20.0,2.0,22.0,"2,180","9,234",1920.0,2.0,C7,"$13,750,000.00",3/15/2023,40.74097109,-73.99956519
908,141.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2B,770.0,26.0,C4,225 WEST 20TH STREET,10011,10.0,0.0,10.0,"1,944","7,475",1901.0,2.0,C4,"$13,750,000.00",3/15/2023,40.74097109,-73.99956519
909,142.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,770.0,43.0,C7,184 7 AVENUE,10011,12.0,3.0,15.0,"1,870","7,488",1920.0,2.0,C7,"$5,600,000.00",3/30/2023,40.74097109,-73.99956519
910,143.0,CHELSEA,7.0,RENTALS - WALKUP APARTMENTS,2,770.0,63.0,C1,242 WEST 21ST STREET,10011,12.0,0.0,12.0,"2,167","4,721",1910.0,2.0,C1,"$2,925,000.00",7/1/2023,40.74097109,-73.99956519
