RECORD INDEX,NEIGHBORHOOD,BLDGCAT,BLDGDESCRIPTION,TAXCLP,BLOCK,LOT,BLDGCP,ADDRESS,ZIP_CODE,RESIDENTIAL_ UNITS,COMMERCIAL_UNITS,UNITS,LANDSFT,GROSSSF,BUILT,TAXCLSALE,BLDGCTOS,SALE_PRICE,SALE_DATE
45,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2C,401,22,C6,"524 EAST 6TH STREET, 5",10009,,,,,,1900,2,C6,"$470,000.00",2/10/2023
46,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2C,401,22,C6,"524 EAST 6TH STREET, 8",10009,,,,,,1900,2,C6,"$605,000.00",12/14/2022
47,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,401,57,C6,"513 EAST 5TH STREET, 2A",10009,,,,,,1929,2,C6,"$410,000.00",3/3/2023
48,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,404,10,C6,"512 EAST 11TH STREET, 2D",10009,,,,,,1929,2,C6,"$325,000.00",5/24/2023
49,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,404,10,C6,"512 EAST 11TH STREET, 5A",10009,,,,,,1929,2,C6,$0.00,2/2/2023
50,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,404,10,C6,"512 EAST 11TH STREET, 5D",10009,,,,,,1929,2,C6,$0.00,2/2/2023
51,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2C,404,11,C6,"514 EAST 11TH STREET, 3A",10009,,,,,,1929,2,C6,"$575,000.00",2/1/2023
52,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,404,21,C6,"534 EAST 11TH STREET, 9-10",10009,,,,,,1920,2,C6,"$762,000.00",10/24/2023
53,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2C,404,27,C6,"546 EAST 11TH STREET, 2A",10009,,,,,,1900,2,C6,"$713,000.00",8/4/2023
54,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2C,404,57,C6,"297 EAST 10TH STREET, 1B",10009,,,,,,1925,2,C6,"$1,300,000.00",12/15/2022
55,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,406,18,C6,"524 EAST 13TH STREET, A1",10009,,,,,,1925,2,C6,"$400,000.00",9/26/2023
56,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,406,61,C6,"507 EAST 12TH STREET, 1B",10009,,,,,,1900,2,C6,"$505,000.00",5/25/2023
57,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,406,61,C6,"507 EAST 12TH STREET, 2A",10009,,,,,,1900,2,C6,"$585,000.00",5/24/2023
58,ALPHABET CITY,10,COOPS - ELEVATOR APARTMENTS,2,385,56,D4,"226-228 EAST 2ND STREET, 5A",10009,,,,,,1900,2,D4,"$650,000.00",12/27/2022
59,ALPHABET CITY,10,COOPS - ELEVATOR APARTMENTS,2,387,44,D4,"283 EAST 4 STREET, 1D",10009,,,,,,1920,2,D4,"$619,500.00",1/6/2023
60,ALPHABET CITY,10,COOPS - ELEVATOR APARTMENTS,2,387,44,D4,"283 EAST 4TH STREET, 1F",10009,,,,,,1920,2,D4,"$430,000.00",1/11/2023
61,ALPHABET CITY,10,COOPS - ELEVATOR APARTMENTS,2,397,12,D4,"157 EAST 2 STREET, 5C",10009,,,,,,1920,2,D4,"$573,000.00",5/11/2023
62,ALPHABET CITY,10,COOPS - ELEVATOR APARTMENTS,2,398,8,D4,"160 EAST 3RD STREET, 1-B",10009,,,,,,1940,2,D4,"$600,000.00",4/13/2023
63,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,393,1016,R2,"648 EAST 11TH STREET, D3",10009,1,,1,,,,2,R2,$0.00,7/17/2023
64,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,398,1018,R2,"182 EAST 2ND STREET, 3D",10009,1,,1,,,,2,R2,"$570,000.00",8/14/2023
65,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,398,1025,R2,"182 EAST 2ND STREET, 4D",10009,1,,1,,,,2,R2,"$575,000.00",9/14/2023
66,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,398,1028,R2,"182 EAST 2ND STREET, 4G",10009,1,,1,,,,2,R2,"$985,000.00",9/6/2023
67,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,398,1029,R2,"178-184 EAST 2ND STREET, 5A",10009,1,,1,,,,2,R2,"$949,000.00",7/7/2023
68,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,398,1035,R2,"182 EAST 2ND STREET, 5G",10009,1,,1,,,,2,R2,"$970,000.00",10/12/2023
69,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,398,1038,R2,"182 EAST 2ND STREET, 6C",10009,1,,1,,,,2,R2,"$725,000.00",8/14/2023
70,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,405,1202,R2,"511 EAST 11TH, A2",10009,1,,1,,,,2,R2,"$2,000,000.00",8/28/2023
71,ALPHABET CITY,12,CONDOS - WALKUP APARTMENTS,2,407,1118,R2,"503 EAST 13TH STRET, B4",10009,1,,1,,,,2,R2,"$1,450,000.00",11/21/2022
72,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,375,1004,R4,"754 EAST 6TH STREET, 2B",10009,1,,1,,,,2,R4,"$900,000.00",4/4/2023
73,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,375,1025,R4,"754 EAST 6TH STREET, 6D",10009,1,,1,,,,2,R4,"$975,000.00",4/5/2023
74,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,378,1027,R4,"399 EAST 8TH STREET, 8A",10009,1,,1,,,2014,2,R4,$0.00,8/12/2023
75,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,378,1030,R4,"399 EAST 8TH STREET, 9A",10009,1,,1,,,2014,2,R4,"$2,500,000.00",9/14/2023
76,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,384,1217,R4,"310 EAST HOUSTON STREET, 5C",10002,1,,1,,,2005,2,R4,"$930,000.00",10/13/2023
77,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,384,1221,R4,"310 EAST HOUSTON STREET, PHB",10002,1,,1,,,,2,R4,"$930,000.00",12/6/2022
78,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,392,1023,R4,"143 AVENUE B, 6B",10009,1,,1,,,1928,2,R4,"$319,000.00",4/11/2023
79,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,392,1067,R4,"143 AVENUE B, 12D",10009,1,,1,,,1928,2,R4,"$1,020,000.00",10/16/2023
80,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,392,1073,R4,"143 AVENUE B, 14C",10009,1,,1,,,1928,2,R4,"$702,500.00",4/3/2023
81,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,392,1075,R4,"143 AVENUE B, 14E",10009,1,,1,,,1928,2,R4,"$1,100,000.00",7/28/2023
82,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,394,1523,R4,"189 AVENUE C, 6C",10009,1,,1,,,1910,2,R4,"$700,000.00",5/19/2023
83,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,396,1008,R4,"215 AVENUE B, 1008",10009,1,,1,,,2008,2,R4,"$1,180,000.00",5/16/2023
84,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,397,1012,R4,"175 EAST 2ND STREET, 3B",10009,1,,1,,,,2,R4,"$1,050,000.00",3/3/2023
85,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,397,1019,R4,"175 EAST 2ND STREET, 5A",10009,1,,1,,,,2,R4,"$1,200,000.00",7/27/2023
86,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,397,1118,R4,"240 EAST HOUSTON STREET, 5E",10002,1,,1,,,,2,R4,"$1,470,000.00",11/15/2022
87,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,402,1309,R4,"100 AVENUE A, 3C",10009,1,,1,,,2014,2,R4,"$1,185,000.00",6/5/2023
88,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,402,1311,R4,"100 AVENUE A, 3E",10009,1,,1,,,2014,2,R4,$0.00,7/28/2023
89,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,402,1316,R4,"100 AVENUE A, 4E",10009,1,,1,,,2014,2,R4,"$1,236,300.00",6/1/2023
90,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,402,1329,R4,"100 AVENUE A, 7E",10009,1,,1,,,2014,2,R4,"$1,200,000.00",9/14/2023
91,ALPHABET CITY,13,CONDOS - ELEVATOR APARTMENTS,2,406,1326,R4,"533 EAST 12TH ST, PHA",10009,1,,1,,,2009,2,R4,"$2,000,000.00",4/28/2023
92,ALPHABET CITY,14,RENTALS - 4-10 UNIT,2A,384,8,S5,13 AVENUE B,10009,5,1,6,"1,587","6,070",1920,2,S5,"$4,300,000.00",7/13/2023
93,ALPHABET CITY,14,RENTALS - 4-10 UNIT,2A,398,4,S3,32 AVENUE A,10009,3,1,4,"1,672","4,708",1960,2,S3,"$3,780,000.00",3/9/2023
94,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,372,1104,R1,"298 EAST 2ND STREET, 5",10009,1,,1,,,2017,2,R1,"$2,002,898.00",9/11/2023
95,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,374,1001,R1,"305 EAST 4TH STREET, 1",10009,1,,1,,,,2,R1,$0.00,12/13/2022
96,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,377,1401,R1,"253 EAST 7TH, TH",10009,1,,1,,,2017,2,R1,$0.00,2/21/2023
97,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,377,1405,R1,"253 EAST 7TH STREET, 4A",10009,1,,1,,,2017,2,R1,"$1,075,000.00",9/8/2023
98,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,387,1104,R1,"650 EAST 6TH STREET, 5",10009,1,,1,,,2021,2,R1,"$2,210,000.00",9/21/2023
99,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,387,1105,R1,"650 EAST 6TH STREET, PH",10009,1,,1,,,2021,2,R1,"$2,445,000.00",10/2/2023
100,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,389,1102,R1,"619 EAST 6TH STREET, 2",10009,1,,1,,,1900,2,R1,"$661,863.00",4/11/2023
101,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,389,1103,R1,"619 EAST 6TH STREET, 3",10009,1,,1,,,1900,2,R1,"$2,525,000.00",6/6/2023
102,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,389,1104,R1,"619 EAST 6TH STREET, 4",10009,1,,1,,,1900,2,R1,$0.00,8/14/2023
103,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,389,1105,R1,"619 EAST 6TH STREET, 5",10009,1,,1,,,1900,2,R1,"$6,073,463.00",6/8/2023
104,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,394,1304,R1,"619 EAST 11TH STREET, 2B",10009,1,,1,,,,2,R1,"$770,000.00",8/25/2023
105,ALPHABET CITY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,402,1207,R1,"509 EAST 6TH STREET, 4R",10009,1,,1,,,1920,2,R1,"$780,000.00",12/22/2022
106,ALPHABET CITY,17,CONDO COOPS,2,389,1003,R9,"99 AVENUE B, 2C",10009,,,,,,1900,2,R9,"$375,000.00",12/29/2022
107,ALPHABET CITY,17,CONDO COOPS,2,389,1003,R9,"99 AVENUE B, 3E",10009,,,,,,1900,2,R9,"$1,325,000.00",4/26/2023
108,ALPHABET CITY,17,CONDO COOPS,2,399,1002,R9,"50 AVENUE A, 5D",10009,,,,,,1920,2,R9,"$1,200,000.00",10/5/2023
109,ALPHABET CITY,17,CONDO COOPS,2,407,1003,R9,"214 AVENUE A, 2E/3E",10009,,,,,,1920,2,R9,"$1,405,000.00",2/22/2023
110,ALPHABET CITY,17,CONDO COOPS,2,407,1003,R9,"214 AVENUE A, TERR",10009,,,,,,1920,2,R9,"$838,000.00",11/28/2022
111,ALPHABET CITY,22,STORE BUILDINGS,4,387,33,K4,650 EAST 5TH STREET,10009,3,1,4,"2,160","3,840",2000,4,K4,"$3,400,000.00",7/13/2023
112,ALPHABET CITY,27,FACTORIES,4,394,28,F5,638 EAST 12TH STREET,10009,0,1,1,"2,237","4,532",1958,4,F5,"$2,800,000.00",7/18/2023
113,CHELSEA,1,ONE FAMILY DWELLINGS,1,719,1,A4,473 WEST 21ST STREET,10011,1,0,1,"1,058","2,960",1920,1,A4,$0.00,2/22/2023
114,CHELSEA,1,ONE FAMILY DWELLINGS,1,742,45,A9,310 WEST 19TH STREET,10011,1,0,1,"1,120","1,728",1910,1,A9,"$1,812,500.00",10/11/2023
115,CHELSEA,1,ONE FAMILY DWELLINGS,1,766,13,A9,251 WEST 16TH STREET,10011,1,0,1,"1,360","2,736",1910,1,A9,$0.00,12/16/2022
116,CHELSEA,2,TWO FAMILY DWELLINGS,1,744,30,B9,313 WEST 20TH STREET,10011,2,0,2,"2,300","9,200",1900,1,B9,"$10,700,000.00",8/10/2023
117,CHELSEA,2,TWO FAMILY DWELLINGS,1,745,51,B9,324 WEST 22ND STREET,10011,2,0,2,"2,049","4,648",1910,1,B9,"$6,250,000.00",10/18/2023
118,CHELSEA,3,THREE FAMILY DWELLINGS,1,722,16,C0,439 WEST 24TH STREET,10011,3,0,3,"2,057","3,360",1910,1,C0,"$5,400,000.00",5/23/2023
119,CHELSEA,3,THREE FAMILY DWELLINGS,1,745,22,C0,323 WEST 21ST STREET,10011,3,0,3,"2,500","8,531",1865,1,C0,$0.00,3/29/2023
120,CHELSEA,3,THREE FAMILY DWELLINGS,1,764,56,C0,232 WEST 15TH STREET,10011,3,0,3,"1,688","4,480",1901,1,C0,"$9,500,000.00",3/28/2023
121,CHELSEA,4,TAX CLASS 1 CONDOS,1C,693,1302,R6,"504 WEST 22ND STREET, RES",10011,1,,1,,,1910,1,R6,"$6,668,476.00",10/13/2023
122,CHELSEA,4,TAX CLASS 1 CONDOS,1C,790,1002,R6,"136 1/2 WEST 15TH STREET, 2",10011,1,,1,,,1901,1,R6,"$3,400,000.00",12/7/2022
123,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2B,694,30,C1,505 WEST 22ND STREET,10011,10,0,10,"1,274","6,030",1900,2,C1,"$23,000,000.00",9/7/2023
124,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2B,694,31,C7,203 10TH AVENUE,10011,8,1,9,"1,835","8,520",1905,2,C7,"$23,000,000.00",9/7/2023
125,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2B,694,32,C7,205 10TH AVENUE,10011,9,1,10,"1,825","7,655",1905,2,C7,"$23,000,000.00",9/7/2023
126,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,717,1,C7,146 10TH AVENUE,10011,16,1,17,"2,001","8,625",1900,2,C7,"$26,850,000.00",6/28/2023
127,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,717,2,C7,148 10TH AVENUE,10011,15,1,16,"2,001","8,625",1900,2,C7,"$26,850,000.00",6/28/2023
128,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,717,3,C4,150 10TH AVENUE,10011,15,1,16,"2,001","8,625",1900,2,C4,"$26,850,000.00",6/28/2023
129,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2B,720,40,C1,415 WEST 22ND STREET,10011,10,0,10,"1,481","3,500",1900,2,C1,"$6,700,000.00",3/7/2023
130,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2B,720,41,C1,413 WEST 22ND STREET,10011,8,0,8,"1,481","3,500",1900,2,C1,"$4,700,000.00",3/7/2023
131,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,738,74,C4,362-364 WEST 15TH STREET,10011,15,0,15,"2,832","8,741",1885,2,C4,$0.00,1/13/2023
132,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,741,1,C7,108 NINTH AVENUE,10011,17,2,19,"2,633","12,197",1910,2,C7,"$20,750,000.00",11/22/2022
133,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,741,2,C7,110 NINTH AVENUE,10011,17,2,19,"2,625","10,420",1910,2,C7,"$20,750,000.00",11/22/2022
134,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2A,744,7,C2,359 WEST 20TH STREET,10011,5,0,5,"1,591","4,472",1900,2,C2,"$5,500,000.00",7/13/2023
135,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2B,744,34,C1,305 WEST 20TH STREET,10011,7,0,7,"2,300","5,600",1850,2,C1,"$5,012,500.00",11/29/2022
136,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,764,37,C7,201 WEST 14TH STREET,10011,16,3,19,"2,400","11,463",1920,2,C7,"$4,850,000.00",12/22/2022
137,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2B,768,9,C7,251 WEST 18TH STREET,10011,9,1,10,"1,638","5,582",1901,2,C7,"$4,100,000.00",12/20/2022
138,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,769,46,C1,212 WEST 20TH STREET,10011,12,0,12,"2,089","7,950",1938,2,C1,"$4,200,000.00",7/1/2023
139,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,769,47,C5,214 WEST 20TH STREET,10011,16,0,16,"2,100","4,000",1930,2,C5,$0.00,3/30/2023
140,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,770,25,C7,227 WEST 20TH STREET,10011,20,2,22,"2,180","9,234",1920,2,C7,"$13,750,000.00",3/15/2023
141,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2B,770,26,C4,225 WEST 20TH STREET,10011,10,0,10,"1,944","7,475",1901,2,C4,"$13,750,000.00",3/15/2023
142,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,770,43,C7,184 7 AVENUE,10011,12,3,15,"1,870","7,488",1920,2,C7,"$5,600,000.00",3/30/2023
143,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,770,63,C1,242 WEST 21ST STREET,10011,12,0,12,"2,167","4,721",1910,2,C1,"$2,925,000.00",7/1/2023
144,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,770,64,C1,244 WEST 21ST STREET,10011,12,0,12,"2,162","8,503",1944,2,C1,"$3,000,000.00",7/1/2023
145,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,770,65,C5,246 WEST 21ST STREET,10011,28,0,28,"2,582","5,250",1910,2,C5,"$2,175,000.00",7/1/2023
146,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,770,66,C1,248 WEST 21ST STREET,10011,15,0,15,"2,104","6,982",1920,2,C1,"$2,700,000.00",7/1/2023
147,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,771,4,C7,224 8 AVENUE,10011,22,3,25,"4,000","16,479",1910,2,C7,"$15,000,000.00",6/26/2023
148,CHELSEA,7,RENTALS - WALKUP APARTMENTS,2,771,6,C7,228 8 AVENUE,10011,22,1,23,"3,925","15,226",1920,2,C7,"$15,000,000.00",6/26/2023
